date,mode_meeting,attendees,cancelled,meetup_url
2023-02-08,Remote,27,,https://www.meetup.com/southampton-data-platform-and-cloud-group/events/291155259/
2023-03-14,Remote,15,,https://www.meetup.com/southampton-data-platform-and-cloud-group/events/290765216/
2023-01-11,InPerson,0,1,https://www.meetup.com/southampton-data-platform-and-cloud-group/events/288483177/
2022-12-14,Remote,17,,https://www.meetup.com/southampton-data-platform-and-cloud-group/events/288483088/
2022-11-09,Hybrid,25,,https://www.meetup.com/southampton-data-platform-and-cloud-group/events/288483050/
2022-10-12,Hybrid,22,,https://www.meetup.com/southampton-data-platform-and-cloud-group/events/288483024/
2022-09-14,Hybrid,29,,https://www.meetup.com/southampton-data-platform-and-cloud-group/events/288049754/
2022-08-10,Hybrid,29,,https://www.meetup.com/southampton-data-platform-and-cloud-group/events/287312479/
2022-07-13,Hybrid,25,,https://www.meetup.com/southampton-data-platform-and-cloud-group/events/286617886/
2022-06-08,Hybrid,17,,https://www.meetup.com/southampton-data-platform-and-cloud-group/events/284675655/
